client timestamp,button,state,x,y
16,Left,Released,819,457
272,NoButton,Move,819,456
557,NoButton,Move,819,456
570,NoButton,Move,819,457
611,NoButton,Move,820,458
619,NoButton,Move,821,459
627,NoButton,Move,823,461
635,NoButton,Move,825,462
640,NoButton,Move,826,462
648,NoButton,Move,828,463
937,NoButton,Move,827,464
945,NoButton,Move,824,468
952,NoButton,Move,818,471
961,NoButton,Move,817,474
968,NoButton,Move,816,474
2192,NoButton,Move,817,474
3005,NoButton,Move,816,473
3005,NoButton,Move,799,462
3006,NoButton,Move,771,444
3006,NoButton,Move,747,428
3007,NoButton,Move,721,414
3007,NoButton,Move,689,402
3007,NoButton,Move,653,390
3008,NoButton,Move,611,376
3008,NoButton,Move,561,358
3008,NoButton,Move,511,344
3009,NoButton,Move,455,322
3099,NoButton,Move,401,298
3100,NoButton,Move,347,280
3100,NoButton,Move,295,258
3100,NoButton,Move,249,234
3101,NoButton,Move,205,208
3101,NoButton,Move,167,180
3101,NoButton,Move,133,152
3102,NoButton,Move,107,120
3102,NoButton,Move,89,90
3102,NoButton,Move,79,66
3103,NoButton,Move,77,46
3103,NoButton,Move,77,34
3317,NoButton,Move,81,28
3317,NoButton,Move,84,22
3318,NoButton,Move,87,20
3318,NoButton,Move,89,18
3319,NoButton,Move,91,16
3319,NoButton,Move,94,13
3319,NoButton,Move,96,10
3321,NoButton,Move,98,8
3321,NoButton,Move,99,6
3321,NoButton,Move,98,4
3322,NoButton,Move,97,2
3322,NoButton,Move,94,0
3323,NoButton,Move,88,0
3325,NoButton,Move,81,0
3326,NoButton,Move,72,0
3326,NoButton,Move,67,1
3326,NoButton,Move,59,4
3327,NoButton,Move,51,6
3327,NoButton,Move,42,9
3327,NoButton,Move,35,12
3327,NoButton,Move,29,15
3328,NoButton,Move,25,17
3328,NoButton,Move,22,20
3328,NoButton,Move,21,22
3328,NoButton,Move,20,25
3328,NoButton,Move,20,27
3328,NoButton,Move,21,27
3328,NoButton,Move,22,28
3329,NoButton,Move,23,28
3395,NoButton,Move,24,28
3395,NoButton,Move,25,28
3395,NoButton,Move,27,29
3395,NoButton,Move,28,29
3396,NoButton,Move,30,29
3396,NoButton,Move,32,30
3396,NoButton,Move,34,30
3495,NoButton,Move,36,31
3495,NoButton,Move,38,31
3495,NoButton,Move,40,31
3496,NoButton,Move,42,32
3496,NoButton,Move,44,32
3497,NoButton,Move,46,33
3497,NoButton,Move,48,33
3497,NoButton,Move,50,34
3497,NoButton,Move,52,34
3498,NoButton,Move,53,35
3498,NoButton,Move,54,35
3775,NoButton,Move,55,34
3776,NoButton,Move,57,33
3777,NoButton,Move,58,32
3777,NoButton,Move,59,32
3777,NoButton,Move,59,31
3779,NoButton,Move,59,31
3779,NoButton,Move,60,29
3779,NoButton,Move,62,28
3779,NoButton,Move,64,26
3780,NoButton,Move,66,24
3780,NoButton,Move,68,22
3780,NoButton,Move,69,20
3781,NoButton,Move,71,18
3781,NoButton,Move,71,17
3781,NoButton,Move,72,15
3781,NoButton,Move,73,13
3782,NoButton,Move,73,11
3782,Left,Pressed,73,11
3945,Left,Released,73,11
4096,NoButton,Move,74,12
4097,NoButton,Move,75,13
4097,NoButton,Move,77,15
4098,NoButton,Move,79,17
